,stock_n,year,brand,model,price,mileage,interior_color,exterior_color,drive_type,engine_size,num_cylinders,hp,comp_ratio,cam_shaft,engine_type,bore,stroke,values_per_cylinder,wheel_base,length,width,height,curb_weight,leg_room,head_room,seating_cap,cargo_cap,city_mpg,hw_mpg
60,16385128,2017,Infiniti,QX80,39998.0,51000,Burgundy,Burgundy,4,5.6,8,400,10.80,Variable Timing,Gas,3.86,3.62,4.0,121.1,208.9,79.9,75.8,5888,39.6,39.9,8,16.6,13,19
61,15908369,2017,Jaguar,F-Pace Prestige,47998.0,6000,Black,Gray,4,3.0,6,340,10.50,Variable Timing,Supercharged,3.33,3.5,4.0,113.2,186.3,81.5,65.6,4015,40.3,39.6,5,33.5,18,23
62,16568180,2016,Jeep,Cherokee Latitude,20998.0,29000,Tan,Blue,4,2.4,4,184,10:1,Variable Timing,Gas,3.46,3.82,4.0,106.3,182.0,73.0,66.0,4044,41.1,39.4,5,30.0,21,28
63,16238300,2015,Jeep,Grand Cherokee Laredo,22998.0,29000,Black,White,2,3.6,6,290,10:1,Variable Timing DOHC,Ethanol/Gas,3.78,3.27,4.0,114.8,189.8,76.0,69.0,4545,40.3,39.9,5,36.0,17,25
64,15914462,2014,Jeep,Grand Cherokee Overland,26998.0,53000,Tan,Green,4,5.7,8,360,10:1,Variable Timing,Gas,3.92,3.58,2.0,114.8,189.8,76.0,69.0,4984,40.3,39.9,5,36.0,14,20
65,16171299,2015,Jeep,Grand Cherokee Overland,28998.0,39000,Black,White,2,3.6,6,290,10:1,Variable Timing DOHC,Ethanol/Gas,3.78,3.27,4.0,114.8,189.8,76.0,69.0,4754,40.3,39.9,5,36.0,17,25
66,16238663,2017,Jeep,Patriot Sport,16998.0,36000,Black,White,4,2.4,4,172,10.50,Variable Timing,Gas,3.46,3.82,4.0,103.7,173.8,69.2,66.8,3293,40.6,41.0,5,23.0,20,25
67,16497952,2016,Jeep,Renegade Latitude,15998.0,35000,Black,Silver,2,2.4,4,180,9.8:1,Variable Timing OHC,Turbo Gas,3.46,3.82,4.0,101.2,166.6,71.0,66.0,3044,41.2,41.1,5,19.0,22,30
68,16257593,2015,Jeep,Renegade Limited,17998.0,36000,Black,White,2,2.4,4,180,10:1,Variable Timing OHC,Gas,3.46,3.82,4.0,101.2,166.6,71.0,66.0,3187,41.2,41.1,5,19.0,22,31
69,15574751,2014,Jeep,Wrangler Sport,24599.0,34000,Black,Orange,4,3.6,6,285,10:1,Variable Timing DOHC,Gas,3.78,3.27,4.0,95.4,152.8,73.0,70.0,3879,41.0,41.3,4,13.0,17,21
70,16237729,2016,Jeep,Wrangler Unlimited Sahara,35998.0,18000,Tan,Black,4,3.6,6,285,10:1,Variable Timing,Gas,3.78,3.27,4.0,116.0,173.4,73.0,70.0,4397,41.0,41.3,5,32.0,16,21
71,16171055,2014,Kia,Forte LX,11998.0,42000,Black,Brown,2,1.8,4,148,10:1,Variable Timing DOHC,Gas,3.19,3.43,4.0,106.3,179.5,70.0,56.0,2781,42.2,39.1,5,15.0,25,36
72,16237511,2015,Kia,Forte5 SX,13998.0,20000,Black,Silver,2,1.6,4,201,9.5:1,Variable Timing DOHC,Turbo Gas,3.03,3.35,4.0,106.3,171.3,70.0,57.0,2970,42.2,39.4,5,23.0,21,29
73,16568230,2015,Kia,K900 Luxury,25998.0,24000,Black,Gray,2,5.0,8,420,12:1,Variable Timing,Gas,3.78,3.43,4.0,119.9,200.6,74.0,58.0,4555,45.9,40.2,5,16.0,15,23
74,16005696,2016,Kia,Optima EX,19998.0,20000,Black,White,2,2.4,4,185,11:1,Variable Timing,Gas,3.46,3.82,4.0,110.4,191.1,73.0,57.0,3272,45.5,39.8,5,16.0,24,34
75,16238806,2018,Kia,Optima LX,17998.0,5000,Black,Silver,2,2.4,4,185,11.30,Variable Timing,Gas,3.46,3.82,4.0,110.4,191.1,73.2,57.7,3219,45.5,39.8,5,15.9,24,34
76,16497954,2017,Kia,Optima LX,15998.0,23000,Gray,White,2,2.4,4,185,11.30,Variable Timing,Gas,3.46,3.82,4.0,110.4,191.1,73.2,57.7,3219,45.5,39.8,5,15.9,24,34
77,16238830,2014,Kia,Rio LX,10998.0,48000,Black,White,2,1.6,4,138,11:1,Variable Timing DOHC,Gas,3.03,3.36,4.0,101.2,171.9,67.0,57.0,2573,43.8,40.0,5,14.0,27,37
78,16238610,2015,Kia,Sedona L,18998.0,32000,Gray,White,2,3.3,6,276,12:1,Variable Timing DOHC,Gas,3.66,3.3,4.0,120.5,201.4,78.0,68.0,4414,40.9,39.8,7,34.0,18,24
79,16238264,2018,Kia,Sorento LX,23998.0,17000,Black,Gray,4,3.3,6,290,11.50,Variable Timing,Gas,3.62,3.31,4.0,109.4,187.4,74.4,66.5,4101,44.1,39.5,7,11.3,18,25
