,stock_n,mileage,interior_color,exterior_color,drive_type,engine_size,num_cylinders,hp,torque,comp_ratio,cam_shaft,engine_type,bore,stroke,values_per_cylinder,fuel_cap,epa_mpg,wheel_base,length,width,height,curb_weight,leg_room,head_room,seating_cap,cargo_cap,tow_cap,pay_cap,gross,tire,trans
30,15777908,2K,Black,Purple,2WDWD,1.4L engine,4 cylinders,98 horsepower@6200rpm,N/A,10.60,Variable Timing,Gas,2.91,3.20,4,N/A,30/38,93.9'',143.1'',62.8'',58.4'',2312 lbs.,41.7'',39.0'',4/4,11.1 cu. ft.,N/A,N/A,N/A,N/A,N/A
31,16171294,34K,Black,Gray,2WDWD,2.4L engine,N/A,N/A,173 torque@4600rpm,10:1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"108.0""","192.3""",73,58,3473 lbs.,"42.2""","38.6""",5/5,15 cu. ft.,N/A,N/A,N/R,N/A,N/A
32,16348170,31K,Black,Blue,2WDWD,2.4L engine,N/A,N/A,173 torque@4600rpm,10:1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"108.0""","192.3""",73,58,3473 lbs.,"42.2""","38.6""",5/5,15 cu. ft.,N/A,N/A,N/R,N/A,N/A
33,16409415,16K,Black,Black,2WDWD,2.0L engine,4 cylinders,160 horsepower@6400rpm,148 torque@4600rpm,10:1,Variable Timing DOHC,Gas,3.46,3.23,4,N/A,25/35,"106.4""","183.9""",72,57,3122 lbs.,"42.2""","38.6""",5/5,13 cu. ft.,N/A,N/A,N/R,N/A,N/A
34,16237494,31K,n/a,Silver,2WDWD,2.0L engine,4 cylinders,160 horsepower@6400rpm,148 torque@4600rpm,10:1,Variable Timing,Gas,3.46,3.23,4,N/A,25/35,"106.4""","183.9""",72,57,3122 lbs.,"42.2""","38.6""",5/5,13 cu. ft.,N/A,N/A,N/R,N/A,N/A
35,16450627,80K,Black,Blue,4WDWD,5.7L engine,8 cylinders,360 horsepower@5150rpm,260 torque@4800rpm,10:1,Overhead Valve,Gas,3.92,3.58,2,N/A,13/20,"119.8""","199.8""",75,70,5097 lbs.,"40.3""","39.9""",7/7,85 cu. ft.,7200 lbs.,1360 lbs.,6500 lbs.,N/A,6-Speed Automatic
36,15914556,27K,Black,White,4WDWD,5.7L engine,8 cylinders,360 horsepower@5150rpm,N/A,10.50,Variable Timing,Gas,3.92,3.58,2,N/A,14/22,119.8'',201.2'',75.8'',71.9'',5331 lbs.,40.3'',39.9'',7/6,17.2 cu. ft.,2000/7200 lbs.,1340 lbs.,7100 lbs.,N/A,N/A
37,16005469,29K,Gray,Silver,2WDWD,3.6L engine,6 cylinders,283 horsepower@6400rpm,260 torque@4400rpm,10:1,Dual Overhead Cam,Ethanol/Gas,3.78,3.26,4,N/A,17/25,"121.2""","202.8""",78,67,4321 lbs.,"40.7""","39.8""",7/7,144 cu. ft.,3600 lbs.,N/A,6050 lbs.,N/A,6-Speed Automatic
38,16238770,18K,Black,Gray,4WDWD,3.6L engine,6 cylinders,283 horsepower@6350rpm,N/A,10.00,Variable Timing,Gas,3.78,3.19,4,N/A,16/24,113.8'',192.4'',72.2'',66.6'',4238 lbs.,40.8'',40.8'',7/7,39.6 cu. ft.,2000/2500 lbs.,1362 lbs.,5600 lbs.,N/A,N/A
39,16237426,74K,Black,Burgundy,2WDWD,5.7L engine,8 cylinders,390 horsepower@5600rpm,407 torque@4000rpm,11:1,Overhead Valve,Gas,3.92,3.58,2,N/A,14/20,"140.5""","229.0""",N/R,75,5167 lbs.,"41.0""","41.0""",6/6,N/R,10150 lbs.,1633 lbs.,6800 lbs.,N/A,6-Speed Automatic
