,stock_n,mileage,interior_color,exterior_color,drive_type,engine_size,num_cylinders,hp,torque,comp_ratio,cam_shaft,engine_type,bore,stroke,values_per_cylinder,fuel_cap,epa_mpg,wheel_base,length,width,height,curb_weight,leg_room,head_room,seating_cap,cargo_cap,tow_cap,pay_cap,gross,tire,trans
589,16004880,29K,Black,Black,2WDWD,3.5L engine,6 cylinders,306 horsepower@6400rpm,277 torque@4800rpm,12:1,Dual Overhead Cam,Gas,3.70,3.27,4,N/A,19/28,"112.2""","190.7""",N/R,57,3795 lbs.,"42.3""","38.0""",5/5,14 cu. ft.,N/A,815 lbs.,N/R,N/A,N/A
590,16439877,35K,Black,White,4WDWD,2.5L engine,6 cylinders,204 horsepower@6400rpm,185 torque@4800rpm,12:1,Variable Timing DOHC,Gas,3.27,3.03,4,N/A,20/27,"110.2""","183.7""",71,56,3649 lbs.,"44.8""","38.2""",5/5,14 cu. ft.,N/A,N/A,N/R,N/A,N/A
591,16250636,72K,Gray,Silver,4WDWD,3.5L engine,6 cylinders,275 horsepower@6200rpm,257 torque@4700rpm,11:1,Dual Overhead Cam,Gas,3.70,3.27,4,N/A,18/24,"107.9""","187.8""",N/R,N/R,4343 lbs.,"43.1""","39.1""",5/5,80 cu. ft.,3500 lbs.,825 lbs.,5557 lbs.,N/A,5-Speed Automatic
592,16250077,89K,Black,Gray,2WDWD,2.0L engine,4 cylinders,240 horsepower@5500rpm,270 torque@3000rpm,9.3:1,Variable Timing DOHC,Turbo Gas,3.44,3.27,4,N/A,22/33,"112.2""","194.1""",73,58,3719 lbs.,"44.3""","37.9""",5/5,15 cu. ft.,N/A,N/A,N/R,N/A,N/A
593,16171587,13K,Black,Gray,4WDWD,2.0L engine,4 cylinders,146 horsepower@6000rpm,146 torque@2800rpm,13:1,Variable Timing,Gas,3.29,3.59,4,N/A,27/32,"101.2""","168.3""",69,60,2952 lbs.,"41.7""","37.6""",5/5,N/R,N/A,N/A,N/R,N/A,N/A
594,16568310,8K,Gray,Blue,4WDWD,2.5L engine,4 cylinders,187 horsepower@6000rpm,N/A,13.00,Variable Timing,Gas,3.50,3.94,4,N/A,23/29,106.3'',178.7'',72.4'',67.3'',3589 lbs.,41.0'',39.0'',5/5,30.9 cu. ft.,2000/2000 lbs.,948 lbs.,4537 lbs.,N/A,N/A
595,15908619,19K,Tan,Gray,2WDWD,2.5L engine,4 cylinders,184 horsepower@5700rpm,185 torque@3250rpm,13:1,Variable Timing DOHC,Gas,3.50,3.94,4,N/A,26/33,"106.3""","178.7""",72,67,3404 lbs.,"41.0""","39.0""",5/5,34 cu. ft.,2000 lbs.,977 lbs.,4381 lbs.,N/A,N/A
596,16078072,22K,Black,Black,4WDWD,2.5L engine,4 cylinders,184 horsepower@5700rpm,185 torque@3250rpm,13:1,Variable Timing DOHC,Gas,3.50,3.94,4,N/A,24/29,"106.3""","178.7""",72,67,3560 lbs.,"41.0""","39.0""",5/5,34 cu. ft.,2000 lbs.,948 lbs.,4537 lbs.,N/A,N/A
597,16327619,8K,Gray,Blue,2WDWD,2.5L engine,4 cylinders,184 horsepower@5700rpm,185 torque@3250rpm,13:1,Variable Timing,Gas,3.50,3.94,4,N/A,26/37,"111.4""","191.5""",72,57,3232 lbs.,"42.2""","37.4""",5/5,15 cu. ft.,N/A,N/A,N/R,N/A,N/A
598,16171446,33K,Black,Red,2WDWD,2.5L engine,4 cylinders,184 horsepower@5700rpm,185 torque@3250rpm,13:1,Variable Timing DOHC,Gas,3.50,3.94,4,N/A,26/38,"111.4""","191.5""",72,57,3232 lbs.,"42.2""","38.4""",5/5,15 cu. ft.,N/A,N/A,4400 lbs.,N/A,N/A
599,16238458,37K,Black,Red,2WDWD,2.0L engine,4 cylinders,158 horsepower@6700rpm,140 torque@5000rpm,11:1,Variable Timing DOHC,Gas,3.44,3.27,4,N/A,21/28,"91.7""","157.3""",67,49,2619 lbs.,"43.1""","37.0""",2/2,5 cu. ft.,N/A,N/A,N/R,N/A,N/A
600,16171530,47K,Gray,Silver,2WDWD,1.8L engine,4 cylinders,145 horsepower@6500rpm,130 torque@4700rpm,10:1,Variable Timing,Gas,3.19,3.43,4,N/A,28/37,"106.3""","179.1""",69,56,2818 lbs.,"43.6""","40.0""",5/5,15 cu. ft.,N/A,N/A,N/R,N/A,N/A
