,stock_n,year,brand,model,price
412,16238657,2015,Mercedes-Benz,C300,24998.0
413,16238819,2015,Mercedes-Benz,C300,25998.0
414,16238824,2015,Mercedes-Benz,C300,25998.0
415,16171186,2015,Mercedes-Benz,CLA250,23599.0
416,16485624,2015,Mercedes-Benz,E400,29998.0
417,16250418,2015,Mercedes-Benz,GLA250,26998.0
418,16486114,2015,Mercedes-Benz,GLA250,25998.0
419,16238817,2017,Mercedes-Benz,GLC300,41998.0
420,16171189,2008,Mercury,Mountaineer,10998.0
421,16568112,2012,Mini,Cooper Countryman S,13998.0
422,16250658,2011,Mini,Cooper,10998.0
423,16250680,2009,Mini,Cooper,9998.0
424,16328243,2017,Mitsubishi,Outlander SE,18998.0
425,16238358,2015,Mitsubishi,Outlander Sport ES,15998.0
426,16171717,2010,Nissan,Altima S,11998.0
427,16238118,2009,Nissan,Altima S,9599.0
428,16238709,2017,Nissan,Altima S,17599.0
429,16568529,2015,Nissan,Altima S,13998.0
430,16238763,2015,Nissan,Altima SV,16599.0
431,16568055,2015,Nissan,Altima SV,14998.0
432,16451179,2017,Nissan,Frontier S,17998.0
433,16568601,2017,Nissan,Frontier S,18998.0
434,16250788,2010,Nissan,Frontier SE,17998.0
435,16250853,2014,Nissan,Leaf SL,11998.0
436,16171618,2018,Nissan,Leaf SV,25998.0
437,16568325,2014,Nissan,Leaf SV,10998.0
438,16238128,2009,Nissan,Murano LE,12998.0
439,16568054,2015,Nissan,Murano S,21998.0
440,16005160,2015,Nissan,Pathfinder S,19998.0
441,16497595,2015,Nissan,Quest S,17998.0
442,16328247,2017,Nissan,Rogue S,17998.0
443,16238630,2016,Nissan,Rogue SL,22998.0
444,16238777,2014,Nissan,Sentra SV,12599.0
445,16568096,2015,Nissan,Sentra SV,12599.0
446,16568424,2013,Nissan,Sentra SV,11998.0
447,16250281,2010,Nissan,Versa S,9998.0
448,16338673,2011,Nissan,Versa S,8998.0
449,16171684,2010,Scion,tC,9998.0
450,16250852,2016,Subaru,Forester 2.5i Premium,21599.0
451,16568545,2018,Subaru,Forester 2.5i Premium,26998.0
452,16250672,2009,Subaru,Forester X Limited,11998.0
453,16568505,2018,Subaru,Outback 2.5i,25998.0
454,16238743,2012,Subaru,Outback 2.5i Premium,17998.0
455,16250350,2011,Subaru,Outback 2.5i Premium,18998.0
456,16250843,2016,Subaru,WRX STI,30998.0
457,16238827,2016,Toyota,Camry LE,15998.0
458,16568302,2017,Toyota,Camry LE,16599.0
459,16238715,2015,Toyota,Camry SE,15998.0
460,16327897,2015,Toyota,Camry SE,16998.0
461,16328232,2015,Toyota,Camry XLE,18998.0
462,16568303,2016,Toyota,Camry XLE,19998.0
463,16568500,2017,Toyota,Corolla LE,14998.0
464,16171493,2012,Toyota,Corolla S,13599.0
465,16171687,2014,Toyota,Corolla S,13998.0
466,16238357,2014,Toyota,Corolla S Plus,13998.0
467,16568305,2015,Toyota,Corolla S Plus,15998.0
468,16328237,2015,Toyota,Highlander LE PLUS,26998.0
469,16327517,2015,Toyota,Highlander XLE,28998.0
470,16171602,2009,Toyota,Matrix,9599.0
471,16171660,2010,Toyota,Prius Four,14599.0
472,16171730,2013,Toyota,RAV4 XLE,19998.0
473,16250820,2017,Toyota,RAV4 XLE,25998.0
474,16328244,2015,Toyota,RAV4 XLE,21599.0
475,16450945,2015,Toyota,RAV4 XLE,21998.0
476,16450975,2015,Toyota,RAV4 XLE,21998.0
477,16327972,2017,Toyota,Sequoia SR5,36998.0
478,16171608,2017,Toyota,Tacoma SR5,26998.0
479,16568341,2015,Toyota,Tacoma,31998.0
480,16328255,2018,Toyota,Tundra SR,30998.0
481,16171689,2015,Toyota,Tundra SR5,31998.0
482,16450974,2015,Toyota,Venza LE,18998.0
483,16327788,2012,Toyota,Yaris L,10599.0
484,16171379,2010,Toyota,Yaris,8998.0
485,16250407,2013,Volkswagen,CC Sport,13998.0
486,16593221,2015,Volkswagen,Passat Limited Edition,14998.0
487,16568640,2018,Volkswagen,Tiguan S,22998.0
488,16327610,2017,Volvo,XC60 T5 Inscription,26998.0
489,15908835,2015,Acura,RDX,22998.0
490,16171183,2013,Audi,A4 Premium Plus,21998.0
491,15908972,2015,Audi,Q7 Premium Plus,32998.0
492,15908978,2016,Audi,S3 Premium Plus,28998.0
493,16250203,2012,BMW,328 I,15998.0
494,16261191,2016,BMW,428 I,28998.0
495,16327627,2015,BMW,428 I,23998.0
496,16238419,2014,BMW,X6 M,45998.0
497,16451015,2015,Cadillac,ATS,19998.0
498,14963460,2015,Cadillac,Escalade Platinum,60998.0
499,16039102,2017,Cadillac,XTS Luxury,25998.0
500,15660875,2015,Chevrolet,Camaro LS,17998.0
501,16568184,2017,Chevrolet,Colorado Work Truck,18998.0
502,16568159,2014,Chevrolet,Cruze LT,12998.0
503,16568249,2015,Chevrolet,Impala LS,15998.0
504,16171123,2014,Chevrolet,Impala Limited LTZ,12599.0
505,16568202,2017,Chevrolet,Malibu LS,15998.0
506,16257433,2017,Chevrolet,Malibu LT,15998.0
507,15325981,2014,Chevrolet,Sonic RS,11998.0
508,16238080,2016,Chevrolet,Spark LS,11599.0
509,15777908,2017,Chevrolet,Spark LT,14998.0
510,16245592,2015,Chevrolet,Volt,16998.0
511,16171294,2015,Chrysler,200 Limited,12998.0
512,16348170,2015,Chrysler,200 Limited,12998.0
513,16409415,2016,Dodge,Dart SE,11998.0
514,16237494,2016,Dodge,Dart SXT Sport,11998.0
515,16450627,2012,Dodge,Durango Citadel,22998.0
516,16005469,2012,Dodge,Grand Caravan Crew,18998.0
517,16238772,2017,Dodge,Grand Caravan SXT,22998.0
518,16238770,2017,Dodge,Journey SXT,20998.0
519,16237426,2012,Dodge,Ram 1500 Express,20998.0
