,stock_n,year,brand,model,price
986,16328083,2018,Nissan,Rogue S,21998.0
987,16238261,2017,Nissan,Sentra S,14998.0
988,16568104,2017,Nissan,Sentra S,14599.0
989,16568225,2017,Nissan,Sentra S,14599.0
990,16250587,2015,Nissan,Sentra SR,15599.0
991,16171268,2015,Nissan,Versa S Plus,10998.0
992,16171248,2016,Nissan,Versa Note SV,11998.0
993,15660738,2015,Porsche,Macan S,45998.0
994,16238664,2015,Scion,FR-S,18998.0
995,16327491,2017,Subaru,Forester 2.5i Premium,23998.0
996,16450558,2013,Subaru,Impreza 2.0i Sport Limited,17998.0
997,16237912,2017,Subaru,Outback 2.5i Limited,29998.0
998,16568129,2015,Subaru,Outback 3.6R Limited,25998.0
999,16004416,2015,Subaru,Outback Limited,22998.0
1000,16250233,2016,Subaru,XV Crosstrek Limited,24998.0
1001,16170893,2017,Toyota,86,23998.0
1002,15660768,2015,Toyota,Camry LE,15998.0
1003,15915222,2015,Toyota,Camry LE,15998.0
1004,16238191,2017,Toyota,Camry LE,18599.0
1005,16249958,2009,Toyota,Camry LE,10998.0
1006,16327640,2015,Toyota,Camry LE,15998.0
1007,15907832,2017,Toyota,Camry SE,17998.0
1008,16004404,2013,Toyota,Camry SE,15998.0
1009,16237578,2014,Toyota,Camry SE,14599.0
1010,16237655,2017,Toyota,Camry SE,17998.0
1011,16241035,2015,Toyota,Camry SE,15998.0
1012,16171261,2016,Toyota,Camry Special Edition,20599.0
1013,15915220,2015,Toyota,Camry XSE,17998.0
1014,16238011,2015,Toyota,Camry XSE,17998.0
1015,16237564,2014,Toyota,Corolla LE,12599.0
1016,16238099,2017,Toyota,Corolla LE,14998.0
1017,16440613,2015,Toyota,Corolla LE,14998.0
1018,16568309,2016,Toyota,Corolla S Plus,14998.0
1019,16568392,2017,Toyota,Corolla SE Special Edition,18998.0
1020,16327517,2015,Toyota,Highlander XLE,28998.0
1021,15290259,2016,Toyota,Highlander Hybrid Limited,40998.0
1022,16198908,2016,Toyota,Prius Three Touring,23998.0
1023,16238237,2015,Toyota,Prius v Three,20998.0
1024,16237753,2015,Toyota,Sienna LE,21998.0
1025,16004638,2016,Toyota,Tacoma SR5,26998.0
1026,15777872,2013,Toyota,Tacoma,17998.0
1027,16238326,2012,Volkswagen,CC Sport,12599.0
1028,15660916,2017,Volkswagen,Jetta S,15998.0
1029,16238303,2013,Volkswagen,Jetta S,9998.0
1030,16249955,2015,Volkswagen,Jetta SE,11998.0
1031,16237835,2011,Volkswagen,Jetta,9998.0
1032,16249873,2017,Volkswagen,Passat R-Line,20599.0
1033,16338578,2012,Volkswagen,Passat S,11599.0
1034,16250534,2015,Volkswagen,Passat Sport,14998.0
1035,15777875,2012,Volvo,C30 T5 R,17599.0
1036,16004781,2015,Volvo,S60 T5,17998.0
