,price,year,mileage,drive_type,engine_size,num_cylinders,hp,comp_ratio,bore,stroke,values_per_cylinder,wheel_base,length,width,height,curb_weight,leg_room,head_room,seating_cap,cargo_cap,city_mpg,hw_mpg,luxury,black_interior,dark_exterior,light_exterior,prime_exterior,normal_engine,turbo_engine,alternate_engine
1611,26998.0,2015,26000,2,3.5,4,240,11.0,3.44,3.27,4.0,112.6,197.1,78.0,70.0,4534,43.1,41.4,7,21.0,20,28,0,1,1,0,0,0,0,1
1612,25998.0,2016,37000,2,2.3,4,270,11.0,0.0,0.0,4.0,112.8,198.3,78.0,70.0,4432,42.9,41.4,7,21.0,19,27,0,1,1,0,0,0,1,0
1613,22998.0,2016,38000,2,3.5,6,290,11.0,3.64,3.41,4.0,112.8,198.3,78.0,70.0,4432,42.9,41.4,7,21.0,17,24,0,0,0,0,1,0,0,1
1614,26998.0,2012,63000,4,3.5,6,365,11.0,3.64,3.41,4.0,144.4,231.7,78.0,76.0,5586,41.4,41.0,5,,15,21,0,1,0,0,1,0,1,0
1615,33998.0,2015,21000,2,2.7,6,325,10.0,3.27,3.27,4.0,156.8,243.7,79.0,75.0,5345,43.9,40.8,6,,19,26,0,0,0,0,1,0,1,0
1616,34998.0,2015,50000,2,2.7,6,325,10.0,3.27,3.27,4.0,156.8,243.7,79.0,75.0,5345,43.9,40.8,6,,19,26,0,1,1,0,0,0,1,0
1617,33998.0,2015,20000,4,2.7,6,325,11.0,3.27,3.27,4.0,145.0,231.9,79.0,76.0,5586,43.9,40.8,6,,18,23,0,1,1,0,0,0,1,0
1618,20998.0,2011,72000,2,3.7,6,302,11.0,3.76,3.41,4.0,144.4,231.7,78.0,74.0,5128,41.4,41.0,6,,17,23,0,0,0,1,0,0,0,1
1619,19998.0,2011,92000,2,5.0,8,360,11.0,3.63,3.65,4.0,144.4,231.7,78.0,74.0,5128,41.4,41.0,6,,15,21,0,0,1,0,0,0,0,1
1620,49998.0,2016,50000,4,6.7,8,400,9.8,3.9,4.25,4.0,172.4,263.0,79.0,79.0,6942,41.1,40.7,6,,12,17,0,1,1,0,0,0,1,0
1621,53998.0,2015,36000,4,6.7,8,400,9.8,3.9,4.25,4.0,156.2,246.8,79.0,80.0,6890,41.1,40.7,6,,12,17,0,1,1,0,0,0,1,0
1622,10998.0,2015,37000,2,1.6,4,120,11.0,3.11,3.2,4.0,98.0,159.7,67.0,58.0,2537,42.2,39.1,5,15.0,28,36,0,1,1,0,0,1,0,0
1623,11599.0,2015,26000,2,1.6,4,120,11.0,3.11,3.2,4.0,98.0,159.7,67.0,58.0,2537,42.2,39.1,5,15.0,28,36,0,1,0,0,1,1,0,0
1624,24998.0,2015,24000,2,3.5,6,287,10.0,3.64,3.41,4.0,117.9,201.8,75.0,68.0,4439,42.6,41.8,7,20.0,18,25,0,0,0,0,1,1,0,0
1625,10998.0,2015,45000,2,2.0,4,160,12.0,3.44,3.27,4.0,104.3,178.5,71.0,57.0,2907,43.7,38.3,5,13.0,26,36,0,1,0,1,0,0,0,1
1626,13998.0,2016,34000,2,2.0,4,160,12.0,3.44,3.27,4.0,104.3,171.7,71.0,57.0,2920,43.1,38.3,5,23.0,26,36,0,1,0,0,1,0,0,1
1627,14599.0,2016,30000,2,2.5,4,175,9.7,3.5,3.94,4.0,112.2,191.7,75.0,58.0,3427,44.3,39.2,5,16.0,22,33,0,0,0,0,1,1,0,0
1628,10998.0,2011,64000,2,2.5,4,175,9.7,3.5,3.9,4.0,107.4,190.6,72.0,56.0,3342,42.3,38.7,5,17.0,22,29,0,0,1,0,0,1,0,0
1629,16599.0,2015,36000,2,1.5,4,181,9.7,3.11,3.01,4.0,112.2,191.7,75.0,58.0,3427,44.3,39.2,5,16.0,25,37,0,1,0,0,1,0,1,0
1630,13599.0,2014,55000,2,2.0,4,240,9.7,3.45,3.27,4.0,112.2,191.7,72.0,58.0,3615,44.3,39.2,5,16.0,22,33,0,1,1,0,0,0,1,0
1631,14998.0,2016,39000,2,2.5,4,175,9.7,3.5,3.94,4.0,112.2,191.7,75.0,58.0,3427,44.3,39.2,5,16.0,22,33,0,1,1,0,0,1,0,0
1632,15998.0,2016,32000,2,1.5,4,181,9.7,3.11,3.01,4.0,112.2,191.7,75.0,58.0,3427,44.3,39.2,5,16.0,25,36,0,1,1,0,0,0,1,0
1633,15998.0,2015,31000,2,1.5,4,181,9.7,3.11,3.01,4.0,112.2,191.7,75.0,58.0,3427,44.3,39.2,5,16.0,25,37,0,1,0,0,1,0,1,0
1634,18998.0,2016,34000,4,2.0,4,240,9.3,3.45,3.27,4.0,112.2,191.7,75.0,58.0,3427,44.3,39.2,5,16.0,22,31,0,0,0,1,0,0,1,0
1635,14998.0,2016,35000,2,2.5,4,175,9.7,3.5,3.94,4.0,112.2,191.7,75.0,58.0,3427,44.3,39.2,5,16.0,22,33,0,1,0,0,1,1,0,0
1636,16998.0,2016,38000,2,1.5,4,181,9.7,3.11,3.01,4.0,112.2,191.7,75.0,58.0,3427,44.3,39.2,5,16.0,25,36,0,0,0,1,0,0,1,0
1637,15998.0,2015,52000,2,2.0,4,195,12.0,3.45,3.27,4.0,112.2,191.8,75.0,58.0,3913,44.3,39.2,5,8.0,40,36,0,1,0,1,0,0,0,1
1638,17599.0,2016,30000,2,2.0,4,195,12.0,3.45,3.27,4.0,112.2,191.8,75.0,58.0,3913,44.3,39.2,5,8.0,40,36,0,1,1,0,0,0,0,1
1639,16998.0,2016,40000,2,2.0,4,195,12.0,3.45,3.27,4.0,112.2,191.8,75.0,58.0,3913,44.3,39.2,5,8.0,40,36,0,1,1,0,0,0,0,1
1640,17998.0,2015,27000,2,2.0,4,195,12.0,3.45,3.27,4.0,112.2,191.8,75.0,58.0,3913,44.3,39.2,5,8.0,40,36,0,1,1,0,0,0,0,1
1641,18998.0,2016,38000,2,2.0,4,195,12.0,3.45,3.27,4.0,112.2,191.8,75.0,58.0,3913,44.3,39.2,5,8.0,40,36,0,1,1,0,0,0,0,1
1642,17998.0,2016,54000,2,2.0,4,195,12.0,3.45,3.27,4.0,112.2,191.8,75.0,58.0,3913,44.3,39.2,5,8.0,40,36,0,1,0,1,0,0,0,1
1643,17998.0,2015,23000,2,2.0,4,195,12.0,3.45,3.27,4.0,112.2,191.8,75.0,58.0,3913,44.3,39.2,5,8.0,40,36,0,1,0,1,0,0,0,1
1644,17599.0,2015,32000,2,2.0,4,195,12.0,3.45,3.27,4.0,112.2,191.8,75.0,58.0,3913,44.3,39.2,5,8.0,40,36,0,1,1,0,0,0,0,1
1645,18599.0,2016,39000,2,2.0,4,195,12.0,3.45,3.27,4.0,112.2,191.8,75.0,58.0,3913,44.3,39.2,5,8.0,40,36,0,1,1,0,0,0,0,1
1646,32998.0,2015,42000,2,5.0,8,435,11.0,3.63,3.65,4.0,107.1,188.3,75.0,54.0,3705,44.5,37.6,4,14.0,16,25,0,1,0,1,0,1,0,0
1647,19998.0,2015,63000,2,2.3,4,310,9.5,3.45,3.7,4.0,107.1,188.3,75.0,54.0,3501,44.5,37.6,4,14.0,21,32,0,1,0,0,1,0,1,0
1648,21998.0,2017,39000,2,2.3,4,310,9.5,3.45,3.7,4.0,107.1,188.3,75.4,54.9,3692,44.5,37.6,4,11.4,21,30,0,1,0,1,0,0,1,0
1649,18599.0,2015,34000,2,3.7,6,300,11.0,3.76,3.41,4.0,107.1,188.3,75.0,54.0,3501,44.5,37.6,4,14.0,19,28,0,1,0,0,1,1,0,0
1650,18998.0,2017,32000,2,3.5,6,288,10.8,3.64,3.41,4.0,112.0,202.9,76.2,60.7,3969,41.9,39.0,5,20.1,18,27,0,1,1,0,0,0,0,1
1651,30998.0,2015,35000,4,3.6,6,288,11.0,3.7,3.37,4.0,118.9,200.8,78.0,70.0,4850,41.3,40.3,8,24.0,16,23,0,0,0,1,0,1,0,0
1652,13998.0,2011,109000,2,3.6,6,288,11.0,3.7,3.37,0.0,118.9,200.7,,69.0,4656,41.3,40.4,8,116.0,17,24,0,0,1,0,0,1,0,0
1653,35998.0,2015,20000,2,5.3,8,355,12.0,3.78,3.62,2.0,153.0,239.0,80.0,73.0,5000,45.3,42.8,6,,16,23,0,1,0,1,0,0,0,1
1654,15998.0,2013,57000,2,2.4,4,182,11.0,3.46,3.85,4.0,112.5,185.3,,66.0,3853,41.2,39.8,5,64.0,22,32,0,1,0,1,0,1,0,0
1655,16998.0,2015,59000,2,2.4,4,182,11.0,3.46,3.86,4.0,112.5,185.3,72.0,66.0,3867,41.2,39.8,5,32.0,22,32,0,1,1,0,0,0,0,1
1656,14998.0,2013,111000,4,3.6,6,301,11.0,3.7,3.37,4.0,112.5,185.3,,66.0,4034,41.2,39.8,5,64.0,16,23,0,1,0,0,1,1,0,0
1657,50998.0,2017,31000,4,6.2,8,420,11.5,4.07,3.62,2.0,116.0,203.9,80.5,74.4,5784,45.3,42.8,8,15.3,15,20,0,1,0,1,0,1,0,0
1658,38998.0,2015,61000,4,5.3,8,376,11.0,3.78,3.62,2.0,116.0,203.9,80.0,74.0,5694,45.3,42.8,8,15.0,16,22,0,0,0,1,0,0,0,1
